accession_id,assembly,level,biosample,strain,taxonomy,taxid,coverage,platform,total-length,spanned-gaps,unspanned-gaps,region-count,scaffold-count,scaffold-N50,scaffold-L50,scaffold-N75,scaffold-N90,contig-count,contig-N50,contig-L50,total-gap-length,molecule-count,top-level-count,component-count
GCA_003433665.1,Scaffold,QVHU00000000,SAMN09734856,AM17-61,Enterobacter hormaechei,158836,100x,Illumina Hiseq,4596352,12,0,0,33,294507,5,143424,94902,45,231379,6,408,0,33,33
GCA_003434465.1,Scaffold,QTLJ00000000,SAMN09734844,AM17-18,Enterobacter sp. AM17-18,2293101,100x,Illumina Hiseq,4918299,22,0,0,54,217039,8,131577,67082,76,166225,11,457,0,54,54
GCA_003467385.1,Scaffold,QSGP00000000,SAMN09736520,AM40-2AC,Enterocloster aldenensis,358742,100x,Illumina Hiseq,6740239,13,0,0,30,472371,5,284429,142007,43,462682,5,324,0,30,30
GCA_003434055.1,Scaffold,QVEX00000000,SAMN09734406,AF19-9LB,Enterocloster aldenensis,358742,100x,Illumina Hiseq,6045490,34,0,0,61,353631,6,154797,77748,95,236844,8,648,0,61,61
GCA_003466005.1,Scaffold,QSBM00000000,SAMN09734176,AF04-15,Enterocloster asparagiformis,333367,100x,Illumina Hiseq,6235959,21,0,0,47,228835,10,148677,78773,68,170786,11,573,0,47,47
GCA_003464745.1,Scaffold,QRZM00000000,SAMN09734249,AF14-18,Enterocloster bolteae,208479,100x,Illumina Hiseq,6430942,18,0,0,61,469767,5,191313,88443,79,327879,6,316,0,61,61
GCA_003467855.1,Scaffold,QSHZ00000000,SAMN09736473,AM35-14,Enterocloster bolteae,208479,100x,IonProton,6793441,1,0,0,145,135478,16,74273,29345,146,135478,16,400,0,145,145
GCA_003458625.1,Scaffold,QRUZ00000000,SAMN09734459,AF24-13,Enterocloster bolteae,208479,100x,Illumina Hiseq,6422063,16,0,0,62,262261,7,132214,87580,78,262261,7,193,0,62,62
GCA_003458165.1,Scaffold,QRTI00000000,SAMN09734538,AF27-9,Enterocloster bolteae,208479,100x,Illumina Hiseq,6144412,19,0,0,55,361580,4,213051,87979,74,332913,5,283,0,55,55
GCA_003439835.1,Scaffold,QSVW00000000,SAMN09736738,OF13-16,Enterocloster bolteae,208479,100x,IonProton,6539152,1,0,0,172,112655,17,61657,27892,173,112655,17,923,0,172,172
GCA_003437595.1,Scaffold,QSQX00000000,SAMN09736930,TF09-4AC,Enterocloster bolteae,208479,100x,Illumina Hiseq,6232356,16,0,0,46,301870,8,169245,97497,62,251681,9,239,0,46,46
GCA_003433945.1,Scaffold,QVET00000000,SAMN09734561,AF29-4,Enterocloster citroniae,358743,100x,Illumina Hiseq,6476507,29,0,0,63,687085,4,163092,86646,92,371060,6,460,0,63,63
GCA_003433765.1,Scaffold,QVEN00000000,SAMN09734744,AM07-19,Enterocloster clostridioformis,1531,100x,Illumina Hiseq,6231573,17,0,0,49,798800,3,138835,75040,66,295504,6,219,0,49,49
GCA_003465335.1,Scaffold,QRZW00000000,SAMN09734238,AF13-3-H,Enterococcus asini,57732,100x,IonProton,2560730,1,0,0,30,264102,4,134859,64154,31,264102,4,367,0,30,30
GCA_003463225.1,Scaffold,QSCV00000000,SAMN09736679,OF02-3AC,Enterococcus avium,33945,100x,Illumina Hiseq,4465025,18,0,0,126,81334,19,43622,20997,144,80854,20,180,0,126,126
GCA_003472845.1,Contig,QRMZ00000000,SAMN09734731,AF48-16,Enterococcus casseliflavus,37734,100x,IonProton,3841212,0,0,0,,,,,,86,125944,11,0,0,86,86
GCA_003471685.1,Scaffold,QRJU00000000,SAMN09734848,AM17-31,Enterococcus casseliflavus,37734,100x,Illumina Hiseq,3499862,12,0,0,45,157394,7,86247,38846,57,134578,8,168,0,45,45
GCA_003465125.1,Scaffold,QSAN00000000,SAMN09734210,AF11-32-H,Enterococcus durans,53345,100x,IonProton,3083830,1,0,0,215,34708,30,18731,7199,216,35061,29,212,0,215,215
GCA_003438055.1,Scaffold,QSSZ00000000,SAMN09736859,OM08-2AT,Enterococcus faecalis,1351,100x,Illumina Hiseq,2665772,3,0,0,12,694770,2,301782,260458,15,474906,2,30,0,12,12
GCA_003434285.1,Scaffold,QVHY00000000,SAMN09736722,OF05-6AC,Enterococcus gallinarum,1353,100x,Illumina Hiseq,3156369,4,0,0,15,364105,3,217027,93928,19,335985,3,153,0,15,15
GCA_003434415.1,Scaffold,QUSJ00000000,SAMN09734889,AM21-17,Erysipelatoclostridium ramosum,1547,100x,Illumina Hiseq,4095829,25,0,0,120,116654,10,56757,21350,145,95549,12,250,0,120,120
GCA_003435475.1,Scaffold,QUSL00000000,SAMN09736827,OM06-4,Erysipelatoclostridium ramosum,1547,100x,Illumina Hiseq,3885077,41,0,0,141,83912,14,44280,12384,182,82758,16,695,0,141,141
GCA_003467635.1,Scaffold,QSHI00000000,SAMN09736498,AM38-1,Erysipelatoclostridium ramosum,1547,100x,Illumina Hiseq,3364706,14,0,0,45,123245,8,84422,52124,59,113641,9,170,0,45,45
GCA_003470175.1,Scaffold,QSLK00000000,SAMN09736315,AM25-30,Erysipelatoclostridium ramosum,1547,100x,Illumina Hiseq,3698520,11,0,0,64,126589,9,66570,45392,75,126589,9,133,0,64,64
GCA_003462905.1,Scaffold,QSCB00000000,SAMN09736709,OF04-4AC,Erysipelatoclostridium ramosum,1547,100x,Illumina Hiseq,3703302,9,0,0,68,126589,10,75678,31906,77,126589,10,90,0,68,68
GCA_003457805.1,Scaffold,QRTD00000000,SAMN09734545,AF28-24B,Erysipelatoclostridium ramosum,1547,100x,Illumina Hiseq,3793129,18,0,0,65,128965,9,71791,38891,83,109340,10,429,0,65,65
GCA_003457945.1,Scaffold,QRTG00000000,SAMN09734541,AF28-13,Erysipelatoclostridium ramosum,1547,100x,Illumina Hiseq,3799075,19,0,0,58,108782,10,68995,47441,77,94298,12,280,0,58,58
GCA_003459645.1,Scaffold,QRWM00000000,SAMN09734389,AF19-21AC,Erysipelatoclostridium ramosum,1547,100x,Illumina Hiseq,3731808,19,0,0,78,86532,14,56782,37937,97,76880,15,208,0,78,78
GCA_003459445.1,Scaffold,QRWA00000000,SAMN09734416,AF20-7LB,Erysipelatoclostridium ramosum,1547,100x,Illumina Hiseq,3764055,58,0,0,98,88725,15,49141,24771,156,78186,17,1368,0,98,98
GCA_003480255.1,Scaffold,QUIN00000000,SAMN09736545,AM42-17,Erysipelatoclostridium sp. AM42-17,2293102,100x,Illumina Hiseq,2159993,10,0,0,57,68890,10,46857,28093,67,60582,12,110,0,57,57
GCA_003603255.1,Scaffold,QVGW00000000,SAMN09734283,AF15-26LB,Erysipelotrichaceae bacterium AF15-26LB,2302975,100x,Illumina Hiseq,4304921,51,0,0,96,86120,15,55172,24778,147,77393,18,922,0,96,96
GCA_003603195.1,Scaffold,QVGT00000000,SAMN09734392,AF19-24AC,Erysipelotrichaceae bacterium AF19-24AC,2302976,100x,Illumina Hiseq,4623182,31,0,0,94,114904,12,58252,28808,125,106201,15,535,0,94,94
GCA_003434715.1,Scaffold,QVGN00000000,SAMN09734740,AM07-12,Erysipelotrichaceae bacterium AM07-12,2302977,100x,Illumina Hiseq,3188348,5,0,0,13,510097,3,343045,232345,18,500480,3,167,0,13,13
GCA_003434705.1,Scaffold,QVGM00000000,SAMN09734747,AM07-35-1,Erysipelotrichaceae bacterium AM07-35-1,2302978,100x,Illumina Hiseq,3124212,4,0,0,10,510350,3,489577,343612,14,489577,3,40,0,10,10
GCA_003473815.1,Scaffold,QUCU00000000,SAMN09734855,AM17-60,Erysipelotrichaceae bacterium AM17-60,2291992,100x,Illumina Hiseq,2436717,23,0,0,107,36406,18,21847,13186,130,34178,20,332,0,107,107
GCA_003475585.1,Scaffold,QRQR00000000,SAMN09734570,AF31-11BH,Escherichia coli,562,100x,Illumina Hiseq,5074720,111,0,0,174,101896,16,66955,26456,285,89267,20,2291,0,174,174
GCA_003470965.1,Scaffold,QRHV00000000,SAMN09736277,AM23-14AC,Escherichia coli,562,100x,Illumina Hiseq,4620691,15,0,0,63,197055,7,91179,50631,78,188588,9,621,0,63,63
GCA_003471145.1,Scaffold,QRIJ00000000,SAMN09734902,AM22-14AC,Escherichia coli,562,100x,Illumina Hiseq,4734402,19,0,0,61,187237,8,103055,59125,80,155419,9,291,0,61,61
GCA_003470915.1,Scaffold,QRHT00000000,SAMN09736281,AM23-18AC,Escherichia coli,562,100x,Illumina Hiseq,4540180,11,0,0,94,127671,12,69161,32986,105,122527,12,377,0,94,94
GCA_003471095.1,Scaffold,QRII00000000,SAMN09734905,AM22-15AC,Escherichia coli,562,100x,Illumina Hiseq,4825199,37,0,0,241,46972,30,25955,11569,278,42351,32,673,0,241,241
GCA_003470505.1,Scaffold,QRIX00000000,SAMN09734883,AM20-38,Escherichia coli,562,100x,Illumina Hiseq,5283769,40,0,0,109,328640,7,113722,30464,149,270706,9,459,0,109,109
GCA_003472255.1,Scaffold,QRLO00000000,SAMN09734787,AM12-30,Escherichia coli,562,100x,Illumina Hiseq,4741612,8,0,0,18,664614,3,380312,197220,26,391068,4,303,0,18,18
GCA_003439795.1,Scaffold,QSVM00000000,SAMN09736754,OM02-28,Escherichia coli,562,100x,Illumina Hiseq,4965537,37,0,0,164,103428,14,69589,26972,201,95624,16,761,0,164,164
GCA_003439405.1,Scaffold,QSVP00000000,SAMN09736747,OM02-12AC,Escherichia coli,562,100x,Illumina Hiseq,4964911,32,0,0,154,95624,15,63792,28737,186,95624,16,538,0,154,154
GCA_003439485.1,Scaffold,QSVS00000000,SAMN09736744,OM02-11AC,Escherichia coli,562,100x,Illumina Hiseq,5058260,33,0,0,163,103440,15,56774,28749,196,103440,15,804,0,163,163
GCA_003439545.1,Scaffold,QSVV00000000,SAMN09736741,OM01-11,Escherichia coli,562,100x,Illumina Hiseq,5116928,35,0,0,184,102126,17,41280,18020,219,93826,18,617,0,184,184
GCA_003460245.1,Scaffold,QRXD00000000,SAMN09734356,AF18-23LB,Escherichia coli,562,100x,IonProton,5195596,2,0,0,209,119446,13,46979,15373,211,119446,13,798,0,209,209
GCA_003460365.1,Scaffold,QRXN00000000,SAMN09734345,AF17-8LB,Escherichia coli,562,100x,Illumina Hiseq,5282839,53,0,0,146,148091,12,79215,26169,199,148091,12,779,0,146,146
GCA_003460375.1,Scaffold,QRXQ00000000,SAMN09734339,AF17-4,Escherichia coli,562,100x,Illumina Hiseq,4885920,22,0,0,100,125472,13,74159,32218,122,112977,14,329,0,100,100
GCA_003469495.1,Scaffold,QSKG00000000,SAMN09736371,AM28-16AC,Escherichia coli,562,100x,Illumina Hiseq,4591896,58,0,0,139,85038,18,49204,21132,197,80891,20,1079,0,139,139
GCA_003467875.1,Scaffold,QSIC00000000,SAMN09736468,AM34-8,Escherichia coli,562,100x,Illumina Hiseq,4872199,29,0,0,92,212150,8,112614,40901,121,151352,10,295,0,92,92
GCA_003464885.1,Contig,QSAB00000000,SAMN09734228,AF13-13-H,Escherichia coli,562,100x,IonProton,4817739,0,0,0,,,,,,176,69251,20,0,0,176,176
GCA_003464755.1,Scaffold,QRZN00000000,SAMN09734248,AF14-15AC,Escherichia coli,562,100x,Illumina Hiseq,4729977,21,0,0,122,96809,12,52837,23261,143,96809,12,210,0,122,122
GCA_003464415.1,Scaffold,QRYU00000000,SAMN09734273,AF14-7LB,Escherichia coli,562,100x,Illumina Hiseq,4715977,22,0,0,127,100725,12,50001,22049,149,84615,13,450,0,127,127
GCA_003479435.1,Scaffold,QUHD00000000,SAMN09734297,AF15-50,Eubacterium sp. AF15-50,2293103,100x,Illumina Hiseq,2837382,14,0,0,35,187385,5,136378,52512,49,174320,6,413,0,35,35
GCA_003479405.1,Scaffold,QUHB00000000,SAMN09734315,AF16-48,Eubacterium sp. AF16-48,2293104,100x,Illumina Hiseq,2837000,12,0,0,32,234806,4,109789,53036,44,187385,5,120,0,32,32
GCA_003461285.1,Scaffold,QTWU00000000,SAMN09734343,AF17-7,Eubacterium sp. AF17-7,2293105,100x,Illumina Hiseq,3063492,12,0,0,46,141537,5,90376,62854,58,141537,5,120,0,46,46
GCA_003603205.1,Scaffold,QVGV00000000,SAMN09734360,AF18-3,Eubacterium sp. AF18-3,2302947,100x,Illumina Hiseq,3355135,28,0,0,101,114080,11,46589,20501,129,90889,13,454,0,101,101
GCA_003479125.1,Scaffold,QUGP00000000,SAMN09734376,AF19-12LB,Eubacterium sp. AF19-12LB,2293106,100x,Illumina Hiseq,2796674,11,0,0,42,274944,5,132601,47699,53,248467,5,110,0,42,42
GCA_003603135.1,Scaffold,QVGU00000000,SAMN09734384,AF19-17,Eubacterium sp. AF19-17,2302948,100x,Illumina Hiseq,2909227,10,0,0,40,351897,4,93485,35038,50,180786,5,133,0,40,40
GCA_003458715.1,Scaffold,QRVI00000000,SAMN09734448,AF22-8LB,Eubacterium sp. AF22-8LB,2292232,100x,Illumina Hiseq,2274946,14,0,0,70,78326,11,40831,19413,84,78326,11,155,0,70,70
GCA_003458705.1,Contig,QRVH00000000,SAMN09734449,AF22-9,Eubacterium sp. AF22-9,2292233,100x,IonProton,2804290,0,0,0,,,,,,150,56031,18,0,0,150,150
GCA_003477765.1,Scaffold,QUDZ00000000,SAMN09734616,AF34-35BH,Eubacterium sp. AF34-35BH,2293107,100x,Illumina Hiseq,2669882,16,0,0,23,305981,4,161131,87177,39,244186,4,521,0,23,23
GCA_003460505.1,Scaffold,QTVG00000000,SAMN09734653,AF36-5BH,Eubacterium sp. AF36-5BH,2293108,100x,Illumina Hiseq,2729280,10,0,0,23,283431,5,258018,79243,33,267540,5,142,0,23,23
GCA_003477535.1,Scaffold,QUDF00000000,SAMN09734738,AM05-23,Eubacterium sp. AM05-23,2292043,100x,Illumina Hiseq,4239024,4,0,0,37,314611,6,141235,113899,41,306801,6,152,0,37,37
GCA_003473805.1,Scaffold,QUCT00000000,SAMN09734859,AM18-10LB-B,Eubacterium sp. AM18-10LB-B,2292044,100x,Illumina Hiseq,2635866,32,0,0,124,38399,21,20580,10520,156,37418,22,449,0,124,124
GCA_003473755.1,Scaffold,QUCR00000000,SAMN09734867,AM18-26,Eubacterium sp. AM18-26,2292045,100x,Illumina Hiseq,2626298,30,0,0,132,38694,20,18775,9912,162,33460,23,312,0,132,132
GCA_003469815.1,Scaffold,QSKE00000000,SAMN09736378,AM28-29,Eubacterium sp. AM28-29,2292349,100x,Illumina Hiseq,2516774,84,0,0,203,27280,27,14695,6475,287,25046,30,1668,0,203,203
GCA_003603575.1,Scaffold,QVHC00000000,SAMN09736385,AM28-8LB,Eubacterium sp. AM28-8LB,2302949,100x,Illumina Hiseq,3180096,18,0,0,82,77384,11,53825,21556,100,77384,13,271,0,82,82
GCA_003603465.1,Scaffold,QVHB00000000,SAMN09736474,AM35-6AC,Eubacterium sp. AM35-6AC,2302950,100x,IonProton,2904454,1,0,0,77,82313,11,67533,18304,78,82313,11,635,0,77,77
GCA_003466705.1,Contig,QSEU00000000,SAMN09736597,AM46-8,Eubacterium sp. AM46-8,2292350,100x,IonProton,2697617,0,0,0,,,,,,44,134846,7,0,0,44,44
GCA_003602875.1,Contig,QVGQ00000000,SAMN09736603,AM47-9,Eubacterium sp. AM47-9,2302951,100x,IonProton,3270290,0,0,0,,,,,,97,80567,15,0,0,97,97
GCA_003464165.1,Scaffold,QSEK00000000,SAMN09736613,AM49-13BH,Eubacterium sp. AM49-13BH,2292351,100x,IonProton,2612632,1,0,0,100,65765,15,35667,17844,101,65765,15,687,0,100,100
GCA_003604145.1,Contig,QVHP00000000,SAMN09736733,OF10-16,Eubacterium sp. OF10-16,2302952,100x,IonProton,2969273,0,0,0,,,,,,65,115649,9,0,0,65,65
GCA_003438075.1,Scaffold,QSTA00000000,SAMN09736857,OM08-24,Eubacterium sp. OM08-24,2292352,100x,Illumina Hiseq,2565811,8,0,0,21,377249,2,97056,66344,29,343713,2,80,0,21,21
GCA_003603835.1,Scaffold,QVHK00000000,SAMN09736881,TF05-29,Eubacterium sp. TF05-29,2302953,100x,Illumina Hiseq,3137612,8,0,0,51,131330,9,80604,28762,59,110754,10,447,0,51,51
GCA_003603765.1,Scaffold,QVHH00000000,SAMN09736954,TF12-12,Eubacterium sp. TF12-12,2302954,100x,Illumina Hiseq,3082016,26,0,0,59,125904,9,61712,24283,85,102043,10,260,0,59,59
GCA_003436425.1,Scaffold,QSPK00000000,SAMN09736985,TM05-53,Eubacterium sp. TM05-53,2292353,100x,Illumina Hiseq,2573374,53,0,0,172,33636,25,16681,7405,225,26877,31,636,0,172,172
GCA_003466385.1,Scaffold,QSPB00000000,SAMN09736995,TM06-47,Eubacterium sp. TM06-47,2292354,100x,Illumina Hiseq,2305949,53,0,0,149,29003,27,16686,8461,202,24669,29,1386,0,149,149
GCA_003467015.1,Scaffold,QSFO00000000,SAMN09736563,AM43-2,Eubacterium ventriosum,39496,100x,Illumina Hiseq,2623978,7,0,0,31,188267,5,112495,54129,38,176281,6,305,0,31,31
GCA_003466845.1,Scaffold,QSFD00000000,SAMN09736578,AM44-11BH,Eubacterium ventriosum,39496,100x,Illumina Hiseq,2552765,7,0,0,25,211015,4,178451,87249,32,211015,4,126,0,25,25
GCA_003468665.1,Scaffold,QSIU00000000,SAMN09736443,AM32-23AC,Eubacterium ventriosum,39496,100x,IonProton,2467137,1,0,0,151,33148,22,16645,8641,152,33148,22,301,0,151,151
GCA_003468105.1,Scaffold,QSGJ00000000,SAMN09736527,AM40-7BH,Eubacterium ventriosum,39496,100x,Illumina Hiseq,2662047,6,0,0,20,274611,4,211020,88532,26,211020,4,60,0,20,20
GCA_003467225.1,Scaffold,QSFV00000000,SAMN09736552,AM42-30,Eubacterium ventriosum,39496,100x,IonProton,2758079,1,0,0,128,47574,17,18359,11466,129,47574,17,306,0,128,128
GCA_003475105.1,Scaffold,QROT00000000,SAMN09734665,AF37-4,Eubacterium ventriosum,39496,100x,Illumina Hiseq,2761423,15,0,0,22,312812,4,298397,208500,37,299392,4,641,0,22,22
GCA_003470845.1,Scaffold,QRHR00000000,SAMN09736286,AM23-22,Eubacterium ventriosum,39496,100x,Illumina Hiseq,2511609,5,0,0,22,277570,4,145511,76627,27,213703,5,103,0,22,22
GCA_003467445.1,Contig,QSGS00000000,SAMN09736515,AM39-5BH,Exiguobacterium sp. AM39-5BH,2292355,100x,IonProton,2830712,0,0,0,,,,,,48,231222,5,0,0,48,48
GCA_003467805.1,Scaffold,QSHX00000000,SAMN09736478,AM36-18BH,Faecalibacterium prausnitzii,853,100x,Illumina Hiseq,2942346,50,0,0,46,204320,4,106110,63471,96,144987,8,2218,0,46,46
GCA_003465525.1,Scaffold,QSAW00000000,SAMN09734198,AF10-13,Faecalibacterium prausnitzii,853,100x,Illumina Hiseq,3126281,17,0,0,46,153247,5,104932,43867,63,144929,6,170,0,46,46
GCA_003434135.1,Scaffold,QVFB00000000,SAMN09736489,AM37-13AC,Faecalibacterium prausnitzii,853,100x,Illumina Hiseq,2921966,14,0,0,61,122652,9,72212,36015,75,111362,9,228,0,61,61
GCA_003434125.1,Scaffold,QVEZ00000000,SAMN09736539,AM42-11AC,Faecalibacterium prausnitzii,853,100x,Illumina Hiseq,2969799,22,0,0,31,287518,4,147509,59921,53,191791,4,220,0,31,31
GCA_003433995.1,Scaffold,QVER00000000,SAMN09734593,AF32-8AC,Faecalibacterium prausnitzii,853,100x,Illumina Hiseq,3025882,27,0,0,57,147237,7,87315,34825,84,116198,8,510,0,57,57
GCA_003434015.1,Scaffold,QVEW00000000,SAMN09734551,AF29-11BH,Faecalibacterium prausnitzii,853,100x,Illumina Hiseq,3310911,37,0,0,62,166540,7,89281,38645,99,166540,7,404,0,62,62
GCA_003434165.1,Scaffold,QVFA00000000,SAMN09736516,AM39-7BH,Faecalibacterium prausnitzii,853,100x,Illumina Hiseq,2875183,18,0,0,53,180307,7,109095,49180,71,180307,7,314,0,53,53
GCA_003434175.1,Scaffold,QVFC00000000,SAMN09736450,AM33-14AC,Faecalibacterium prausnitzii,853,100x,Illumina Hiseq,2736062,22,0,0,32,217202,4,112700,60098,54,194515,6,410,0,32,32
GCA_003433905.1,Scaffold,QVES00000000,SAMN09734572,AF31-14AC,Faecalibacterium prausnitzii,853,100x,Illumina Hiseq,3279664,21,0,0,83,155599,7,66016,33603,104,125804,8,267,0,83,83
GCA_003433865.1,Scaffold,QVEQ00000000,SAMN09734636,AF36-11AT,Faecalibacterium prausnitzii,853,100x,Illumina Hiseq,2975205,30,0,0,80,158479,4,77248,25960,110,156576,5,681,0,80,80
GCA_003604105.1,Scaffold,QVGY00000000,SAMN09734204,AF10-46,Faecalibacterium sp. AF10-46,2302955,100x,Illumina Hiseq,2898008,11,0,0,36,187310,5,137415,99376,47,154940,6,226,0,36,36
GCA_003603005.1,Scaffold,QVGS00000000,SAMN09734523,AF27-11BH,Faecalibacterium sp. AF27-11BH,2302956,100x,Illumina Hiseq,2779402,14,0,0,39,161225,5,107237,63712,53,161225,5,140,0,39,39
GCA_003478405.1,Scaffold,QUFG00000000,SAMN09734542,AF28-13AC,Faecalibacterium sp. AF28-13AC,2292234,100x,Illumina Hiseq,3389503,10,0,0,34,304855,5,188347,81030,44,301342,5,100,0,34,34
GCA_003603345.1,Scaffold,QVGZ00000000,SAMN09736571,AM43-5AT,Faecalibacterium sp. AM43-5AT,2302957,100x,Illumina Hiseq,2939397,17,0,0,44,229815,4,126437,70208,61,154406,5,296,0,44,44
GCA_003478175.1,Scaffold,QUEN00000000,SAMN09736700,OF03-6AC,Faecalibacterium sp. OF03-6AC,2292356,100x,Illumina Hiseq,2830308,13,0,0,31,234049,5,119821,96941,44,206952,6,330,0,31,31
GCA_003460645.1,Contig,QTVP00000000,SAMN09736704,OF04-11AC,Faecalibacterium sp. OF04-11AC,2293109,100x,IonProton,2745360,0,0,0,,,,,,63,88711,10,0,0,63,63
GCA_003482185.1,Scaffold,QULS00000000,SAMN09736778,OM04-11BH,Faecalibacterium sp. OM04-11BH,2292357,100x,Illumina Hiseq,2961722,15,0,0,51,167778,6,88479,42408,66,167778,6,220,0,51,51
GCA_003435415.1,Scaffold,QUSK00000000,SAMN09736912,TF08-11,Faecalicoccus pleomorphus,1323,100x,Illumina Hiseq,2478513,13,0,0,66,73602,12,46124,24241,79,73602,12,198,0,66,66
GCA_003461705.1,Scaffold,QTXP00000000,SAMN09734219,AF12-30,Firmicutes bacterium AF12-30,2292884,100x,Illumina Hiseq,2632465,22,0,0,61,130697,8,59345,40166,83,107130,9,220,0,61,61
GCA_003461565.1,Scaffold,QTXI00000000,SAMN09734306,AF16-15,Firmicutes bacterium AF16-15,2292885,100x,Illumina Hiseq,3347541,38,0,0,85,128305,8,56179,30501,123,105583,9,514,0,85,85
GCA_003479265.1,Scaffold,QUGL00000000,SAMN09734394,AF19-2LB,Firmicutes bacterium AF19-2LB,2292886,100x,Illumina Hiseq,2531065,16,0,0,31,334915,2,139027,79383,47,334915,3,325,0,31,31
GCA_003478685.1,Scaffold,QUFW00000000,SAMN09734446,AF22-6AC,Firmicutes bacterium AF22-6AC,2292887,100x,Illumina Hiseq,3356063,26,0,0,68,122187,9,82240,35921,94,93187,10,343,0,68,68
GCA_003478935.1,Contig,QUFP00000000,SAMN09734483,AF25-13AC,Firmicutes bacterium AF25-13AC,2292181,100x,IonProton,4116467,0,0,0,,,,,,145,84687,17,0,0,145,145
GCA_003477655.1,Scaffold,QUDT00000000,SAMN09734644,AF36-19BH,Firmicutes bacterium AF36-19BH,2292888,100x,Illumina Hiseq,3440690,33,0,0,93,106708,12,53325,24782,126,104487,12,657,0,93,93
GCA_003477645.1,Scaffold,QUDS00000000,SAMN09734651,AF36-3BH,Firmicutes bacterium AF36-3BH,2292889,100x,IonProton,3217536,2,0,0,290,30339,31,13954,5110,292,30339,31,125,0,290,290
GCA_003435795.1,Scaffold,QTUU00000000,SAMN09734775,AM10-47,Firmicutes bacterium AM10-47,2292890,100x,Illumina Hiseq,3606627,12,0,0,44,199202,6,120425,67430,56,199202,6,214,0,44,44
GCA_003480465.1,Scaffold,QUJC00000000,SAMN09736407,AM29-6AC,Firmicutes bacterium AM29-6AC,2292891,100x,Illumina Hiseq,2534489,25,0,0,34,212441,3,124910,53849,59,211654,3,905,0,34,34
GCA_003480425.1,Scaffold,QUJA00000000,SAMN09736424,AM31-12AC,Firmicutes bacterium AM31-12AC,2292892,100x,IonProton,3238626,2,0,0,107,64773,13,32482,16031,109,64773,13,545,0,107,107
GCA_003480165.1,Scaffold,QUIQ00000000,SAMN09736529,AM41-11,Firmicutes bacterium AM41-11,2292893,100x,Illumina Hiseq,1820133,1,0,0,33,110953,5,58002,34722,34,110953,5,10,0,33,33
GCA_003461845.1,Scaffold,QTXW00000000,SAMN09736535,AM41-5BH,Firmicutes bacterium AM41-5BH,2292894,100x,Illumina Hiseq,3371135,36,0,0,78,141504,6,75980,37624,114,141102,6,443,0,78,78
GCA_003480065.1,Scaffold,QUII00000000,SAMN09736562,AM43-11BH,Firmicutes bacterium AM43-11BH,2292895,100x,Illumina Hiseq,3599641,29,0,0,55,160284,6,85483,43210,84,113018,10,494,0,55,55
GCA_003460745.1,Scaffold,QTVU00000000,SAMN09736644,AM55-24TS,Firmicutes bacterium AM55-24TS,2292896,100x,IonProton,3247666,2,0,0,174,54845,19,24739,10203,176,54845,19,1124,0,174,174
GCA_003478205.1,Scaffold,QUEU00000000,SAMN09736653,AM59-13,Firmicutes bacterium AM59-13,2292897,100x,IonProton,3619353,1,0,0,113,74230,17,41056,20918,114,70813,17,613,0,113,113
GCA_003481745.1,Scaffold,QULP00000000,SAMN09736781,OM04-13BH,Firmicutes bacterium OM04-13BH,2292901,100x,Illumina Hiseq,3362050,9,0,0,36,417717,4,186446,101930,45,417717,4,138,0,36,36
GCA_003481385.1,Scaffold,QULB00000000,SAMN09736831,OM07-11,Firmicutes bacterium OM07-11,2292900,100x,Illumina Hiseq,3688237,99,0,0,94,69026,12,41393,22939,193,44559,23,2031,0,94,94
GCA_003481565.1,Scaffold,QUKX00000000,SAMN09736845,OM08-11AC,Firmicutes bacterium OM08-11AC,2292899,100x,Illumina Hiseq,3720706,18,0,0,59,153327,9,84333,39676,77,123038,10,350,0,59,59
GCA_003481005.1,Scaffold,QUKC00000000,SAMN09737010,TM09-10,Firmicutes bacterium TM09-10,2292898,100x,Illumina Hiseq,3523548,22,0,0,64,135856,9,74828,38458,86,133247,9,220,0,64,64
GCA_003470805.1,Scaffold,QRHL00000000,SAMN09736297,AM25-1,Fusobacterium mortiferum,850,100x,Illumina Hiseq,2702339,37,0,0,63,91524,8,40180,23584,100,69760,10,610,0,63,63
GCA_003470285.1,Scaffold,QRHI00000000,SAMN09736304,AM25-18LB,Fusobacterium mortiferum,850,100x,Illumina Hiseq,2564000,12,0,0,38,178502,5,77409,38310,50,136463,6,120,0,38,38
GCA_003438345.1,Scaffold,QSTZ00000000,SAMN09736818,OM06-15BH,Fusobacterium mortiferum,850,100x,Illumina Hiseq,2657463,13,0,0,50,115378,7,62108,29281,63,89228,8,130,0,50,50
GCA_003463295.1,Scaffold,QSDE00000000,SAMN09736664,OF01-15LB,Fusobacterium ulcerans,861,100x,Illumina Hiseq,3598730,42,0,0,81,104496,10,53997,27362,123,78615,12,537,0,81,81
GCA_003436335.1,Scaffold,QSOW00000000,SAMN09737000,TM07-10,Fusobacterium varium,856,100x,Illumina Hiseq,3303637,51,0,0,80,90692,11,45048,28436,131,79207,13,896,0,80,80
GCA_003470425.1,Scaffold,QRIG00000000,SAMN09734908,AM22-17,Fusobacterium varium,856,100x,Illumina Hiseq,3309300,37,0,0,79,100699,11,61306,28282,116,94693,12,370,0,79,79
